Anio,Mes,Procuraduria,Total,Fecha
2018,JUNIO,ACAPULCO,724,2018-06-01
2018,JUNIO,AGUASCALIENTES,399,2018-06-01
2018,JUNIO,AZCAPOTZALCO (JFCA),230,2018-06-01
2018,JUNIO,CAMPECHE,611,2018-06-01
2018,JUNIO,CANANEA,438,2018-06-01
2018,JUNIO,CANCUN Q. ROO,532,2018-06-01
2018,JUNIO,CD. DEL CARMEN,493,2018-06-01
2018,JUNIO,CD. JUAREZ,1930,2018-06-01
2018,JUNIO,CD. VICTORIA,315,2018-06-01
2018,JUNIO,CHIHUAHUA,1665,2018-06-01
2018,JUNIO,COATZACOALCOS,1229,2018-06-01
2018,JUNIO,COLIMA,319,2018-06-01
2018,JUNIO,CUERNAVACA,738,2018-06-01
2018,JUNIO,CULIACAN,2520,2018-06-01
2018,JUNIO,CIUDAD DE MEXICO,14844,2018-06-01
2018,JUNIO,DURANGO,735,2018-06-01
2018,JUNIO,ENSENADA,368,2018-06-01
2018,JUNIO,GUADALAJARA,2296,2018-06-01
2018,JUNIO,GUANAJUATO,1882,2018-06-01
2018,JUNIO,HERMOSILLO,1767,2018-06-01
2018,JUNIO,JALAPA,1009,2018-06-01
2018,JUNIO,LA PAZ,978,2018-06-01
2018,JUNIO,MERIDA,893,2018-06-01
2018,JUNIO,MONTERREY,2169,2018-06-01
2018,JUNIO,MORELIA,697,2018-06-01
2018,JUNIO,OAXACA,544,2018-06-01
2018,JUNIO,ORIZABA,937,2018-06-01
2018,JUNIO,PACHUCA,2024,2018-06-01
2018,JUNIO,PARRAL,247,2018-06-01
2018,JUNIO,POZA RICA,788,2018-06-01
2018,JUNIO,PUEBLA,3124,2018-06-01
2018,JUNIO,QUERETARO,4944,2018-06-01
2018,JUNIO,REYNOSA,481,2018-06-01
2018,JUNIO,SALTILLO,1078,2018-06-01
2018,JUNIO,SAN LUIS POTOSI,744,2018-06-01
2018,JUNIO,TAMPICO,1202,2018-06-01
2018,JUNIO,TEPIC,470,2018-06-01
2018,JUNIO,TIJUANA,1223,2018-06-01
2018,JUNIO,TLAXCALA,340,2018-06-01
2018,JUNIO,TOLUCA,885,2018-06-01
2018,JUNIO,TORREON,1262,2018-06-01
2018,JUNIO,TUXTLA GTEZ.,817,2018-06-01
2018,JUNIO,VERACRUZ,492,2018-06-01
2018,JUNIO,VILLAHERMOSA,956,2018-06-01
2018,JUNIO,ZACATECAS,326,2018-06-01
2018,DICIEMBRE,ACAPULCO,736,2018-12-01
2018,DICIEMBRE,AGUASCALIENTES,320,2018-12-01
2018,DICIEMBRE,AZCAPOTZALCO (JFCA),189,2018-12-01
2018,DICIEMBRE,CAMPECHE,530,2018-12-01
2018,DICIEMBRE,CANANEA,371,2018-12-01
2018,DICIEMBRE,CANCUN Q. ROO,564,2018-12-01
2018,DICIEMBRE,CD. DEL CARMEN,487,2018-12-01
2018,DICIEMBRE,CD. JUAREZ,1896,2018-12-01
2018,DICIEMBRE,CD. VICTORIA,287,2018-12-01
2018,DICIEMBRE,CHIHUAHUA,1479,2018-12-01
2018,DICIEMBRE,COATZACOALCOS,1235,2018-12-01
2018,DICIEMBRE,COLIMA,354,2018-12-01
2018,DICIEMBRE,CUERNAVACA,745,2018-12-01
2018,DICIEMBRE,CULIACAN,2381,2018-12-01
2018,DICIEMBRE,CIUDAD DE MEXICO,13911,2018-12-01
2018,DICIEMBRE,DURANGO,745,2018-12-01
2018,DICIEMBRE,ENSENADA,409,2018-12-01
2018,DICIEMBRE,GUADALAJARA,2097,2018-12-01
2018,DICIEMBRE,GUANAJUATO,1848,2018-12-01
2018,DICIEMBRE,HERMOSILLO,1769,2018-12-01
2018,DICIEMBRE,JALAPA,1014,2018-12-01
2018,DICIEMBRE,LA PAZ,1024,2018-12-01
2018,DICIEMBRE,MERIDA,788,2018-12-01
2018,DICIEMBRE,MONTERREY,1793,2018-12-01
2018,DICIEMBRE,MORELIA,612,2018-12-01
2018,DICIEMBRE,OAXACA,566,2018-12-01
2018,DICIEMBRE,ORIZABA,909,2018-12-01
2018,DICIEMBRE,PACHUCA,2059,2018-12-01
2018,DICIEMBRE,PARRAL,299,2018-12-01
2018,DICIEMBRE,POZA RICA,770,2018-12-01
2018,DICIEMBRE,PUEBLA,2902,2018-12-01
2018,DICIEMBRE,QUERETARO,4403,2018-12-01
2018,DICIEMBRE,REYNOSA,415,2018-12-01
2018,DICIEMBRE,SALTILLO,1154,2018-12-01
2018,DICIEMBRE,SAN LUIS POTOSI,605,2018-12-01
2018,DICIEMBRE,TAMPICO,1022,2018-12-01
2018,DICIEMBRE,TEPIC,543,2018-12-01
2018,DICIEMBRE,TIJUANA,1219,2018-12-01
2018,DICIEMBRE,TLAXCALA,337,2018-12-01
2018,DICIEMBRE,TOLUCA,937,2018-12-01
2018,DICIEMBRE,TORREON,1218,2018-12-01
2018,DICIEMBRE,TUXTLA GTEZ.,873,2018-12-01
2018,DICIEMBRE,VERACRUZ,480,2018-12-01
2018,DICIEMBRE,VILLAHERMOSA,947,2018-12-01
2018,DICIEMBRE,ZACATECAS,327,2018-12-01
2019,JUNIO,ACAPULCO,730,2019-06-01
2019,JUNIO,AGUASCALIENTES,332,2019-06-01
2019,JUNIO,AZCAPOTZALCO (JFCA),185,2019-06-01
2019,JUNIO,CAMPECHE,530,2019-06-01
2019,JUNIO,CANANEA,366,2019-06-01
2019,JUNIO,CANCUN Q. ROO,547,2019-06-01
2019,JUNIO,CD. DEL CARMEN,491,2019-06-01
2019,JUNIO,CD. JUAREZ,1911,2019-06-01
2019,JUNIO,CD. VICTORIA,286,2019-06-01
2019,JUNIO,CHIHUAHUA,1502,2019-06-01
2019,JUNIO,COATZACOALCOS,1219,2019-06-01
2019,JUNIO,COLIMA,368,2019-06-01
2019,JUNIO,CUERNAVACA,796,2019-06-01
2019,JUNIO,CULIACAN,2348,2019-06-01
2019,JUNIO,CIUDAD DE MEXICO,13367,2019-06-01
2019,JUNIO,DURANGO,786,2019-06-01
2019,JUNIO,ENSENADA,451,2019-06-01
2019,JUNIO,GUADALAJARA,2199,2019-06-01
2019,JUNIO,GUANAJUATO,1820,2019-06-01
2019,JUNIO,HERMOSILLO,1786,2019-06-01
2019,JUNIO,JALAPA,1007,2019-06-01
2019,JUNIO,LA PAZ,1112,2019-06-01
2019,JUNIO,MERIDA,748,2019-06-01
2019,JUNIO,MONTERREY,1540,2019-06-01
2019,JUNIO,MORELIA,512,2019-06-01
2019,JUNIO,OAXACA,592,2019-06-01
2019,JUNIO,ORIZABA,875,2019-06-01
2019,JUNIO,PACHUCA,2019,2019-06-01
2019,JUNIO,PARRAL,328,2019-06-01
2019,JUNIO,POZA RICA,780,2019-06-01
2019,JUNIO,PUEBLA,2813,2019-06-01
2019,JUNIO,QUERETARO,4588,2019-06-01
2019,JUNIO,REYNOSA,436,2019-06-01
2019,JUNIO,SALTILLO,1122,2019-06-01
2019,JUNIO,SAN LUIS POTOSI,568,2019-06-01
2019,JUNIO,TAMPICO,887,2019-06-01
2019,JUNIO,TEPIC,414,2019-06-01
2019,JUNIO,TIJUANA,1197,2019-06-01
2019,JUNIO,TLAXCALA,357,2019-06-01
2019,JUNIO,TOLUCA,981,2019-06-01
2019,JUNIO,TORREON,1225,2019-06-01
2019,JUNIO,TUXTLA GTEZ.,852,2019-06-01
2019,JUNIO,VERACRUZ,493,2019-06-01
2019,JUNIO,VILLAHERMOSA,957,2019-06-01
2019,JUNIO,ZACATECAS,355,2019-06-01
2019,DICIEMBRE,ACAPULCO,615,2019-12-01
2019,DICIEMBRE,AGUASCALIENTES,409,2019-12-01
2019,DICIEMBRE,AZCAPOTZALCO (JFCA),0,2019-12-01
2019,DICIEMBRE,CAMPECHE,397,2019-12-01
2019,DICIEMBRE,CANANEA,338,2019-12-01
2019,DICIEMBRE,CANCUN Q. ROO,462,2019-12-01
2019,DICIEMBRE,CD. DEL CARMEN,348,2019-12-01
2019,DICIEMBRE,CD. JUAREZ,1743,2019-12-01
2019,DICIEMBRE,CD. VICTORIA,262,2019-12-01
2019,DICIEMBRE,CHIHUAHUA,1328,2019-12-01
2019,DICIEMBRE,COATZACOALCOS,11223,2019-12-01
2019,DICIEMBRE,COLIMA,1276,2019-12-01
2019,DICIEMBRE,CUERNAVACA,374,2019-12-01
2019,DICIEMBRE,CULIACAN,793,2019-12-01
2019,DICIEMBRE,CIUDAD DE MEXICO,1901,2019-12-01
2019,DICIEMBRE,DURANGO,676,2019-12-01
2019,DICIEMBRE,ENSENADA,472,2019-12-01
2019,DICIEMBRE,GUADALAJARA,2462,2019-12-01
2019,DICIEMBRE,GUANAJUATO,1605,2019-12-01
2019,DICIEMBRE,HERMOSILLO,1844,2019-12-01
2019,DICIEMBRE,JALAPA,1099,2019-12-01
2019,DICIEMBRE,LA PAZ,922,2019-12-01
2019,DICIEMBRE,MERIDA,650,2019-12-01
2019,DICIEMBRE,MONTERREY,1366,2019-12-01
2019,DICIEMBRE,MORELIA,475,2019-12-01
2019,DICIEMBRE,OAXACA,561,2019-12-01
2019,DICIEMBRE,ORIZABA,856,2019-12-01
2019,DICIEMBRE,PACHUCA,1842,2019-12-01
2019,DICIEMBRE,PARRAL,306,2019-12-01
2019,DICIEMBRE,POZA RICA,745,2019-12-01
2019,DICIEMBRE,PUEBLA,2642,2019-12-01
2019,DICIEMBRE,QUERETARO,4132,2019-12-01
2019,DICIEMBRE,REYNOSA,454,2019-12-01
2019,DICIEMBRE,SALTILLO,1032,2019-12-01
2019,DICIEMBRE,SAN LUIS POTOSI,663,2019-12-01
2019,DICIEMBRE,TAMPICO,838,2019-12-01
2019,DICIEMBRE,TEPIC,512,2019-12-01
2019,DICIEMBRE,TIJUANA,1221,2019-12-01
2019,DICIEMBRE,TLAXCALA,456,2019-12-01
2019,DICIEMBRE,TOLUCA,942,2019-12-01
2019,DICIEMBRE,TORREON,1203,2019-12-01
2019,DICIEMBRE,TUXTLA GTEZ.,826,2019-12-01
2019,DICIEMBRE,VERACRUZ,577,2019-12-01
2019,DICIEMBRE,VILLAHERMOSA,959,2019-12-01
2019,DICIEMBRE,ZACATECAS,410,2019-12-01
2020,JUNIO,ACAPULCO,648,2020-06-01
2020,JUNIO,AGUASCALIENTES,353,2020-06-01
2020,JUNIO,AZCAPOTZALCO (JFCA),0,2020-06-01
2020,JUNIO,CAMPECHE,507,2020-06-01
2020,JUNIO,CANANEA,335,2020-06-01
2020,JUNIO,CANCUN Q. ROO,517,2020-06-01
2020,JUNIO,CD. DEL CARMEN,356,2020-06-01
2020,JUNIO,CD. JUAREZ,1855,2020-06-01
2020,JUNIO,CD. VICTORIA,257,2020-06-01
2020,JUNIO,CHIHUAHUA,1419,2020-06-01
2020,JUNIO,COATZACOALCOS,11359,2020-06-01
2020,JUNIO,COLIMA,1199,2020-06-01
2020,JUNIO,CUERNAVACA,368,2020-06-01
2020,JUNIO,CULIACAN,788,2020-06-01
2020,JUNIO,CIUDAD DE MEXICO,2090,2020-06-01
2020,JUNIO,DURANGO,714,2020-06-01
2020,JUNIO,ENSENADA,500,2020-06-01
2020,JUNIO,GUADALAJARA,2429,2020-06-01
2020,JUNIO,GUANAJUATO,1696,2020-06-01
2020,JUNIO,HERMOSILLO,1787,2020-06-01
2020,JUNIO,JALAPA,1042,2020-06-01
2020,JUNIO,LA PAZ,999,2020-06-01
2020,JUNIO,MERIDA,650,2020-06-01
2020,JUNIO,MONTERREY,1411,2020-06-01
2020,JUNIO,MORELIA,496,2020-06-01
2020,JUNIO,OAXACA,575,2020-06-01
2020,JUNIO,ORIZABA,838,2020-06-01
2020,JUNIO,PACHUCA,1879,2020-06-01
2020,JUNIO,PARRAL,325,2020-06-01
2020,JUNIO,POZA RICA,773,2020-06-01
2020,JUNIO,PUEBLA,2784,2020-06-01
2020,JUNIO,QUERETARO,4053,2020-06-01
2020,JUNIO,REYNOSA,444,2020-06-01
2020,JUNIO,SALTILLO,1106,2020-06-01
2020,JUNIO,SAN LUIS POTOSI,598,2020-06-01
2020,JUNIO,TAMPICO,873,2020-06-01
2020,JUNIO,TEPIC,451,2020-06-01
2020,JUNIO,TIJUANA,1221,2020-06-01
2020,JUNIO,TLAXCALA,423,2020-06-01
2020,JUNIO,TOLUCA,942,2020-06-01
2020,JUNIO,TORREON,1241,2020-06-01
2020,JUNIO,TUXTLA GTEZ.,834,2020-06-01
2020,JUNIO,VERACRUZ,567,2020-06-01
2020,JUNIO,VILLAHERMOSA,965,2020-06-01
2020,JUNIO,ZACATECAS,332,2020-06-01
2020,DICIEMBRE,ACAPULCO,627,2020-12-01
2020,DICIEMBRE,AGUASCALIENTES,423,2020-12-01
2020,DICIEMBRE,AZCAPOTZALCO (JFCA),245,2020-12-01
2020,DICIEMBRE,CAMPECHE,413,2020-12-01
2020,DICIEMBRE,CANANEA,340,2020-12-01
2020,DICIEMBRE,CANCUN Q. ROO,468,2020-12-01
2020,DICIEMBRE,CD. DEL CARMEN,361,2020-12-01
2020,DICIEMBRE,CD. JUAREZ,1819,2020-12-01
2020,DICIEMBRE,CD. VICTORIA,268,2020-12-01
2020,DICIEMBRE,CHIHUAHUA,1395,2020-12-01
2020,DICIEMBRE,COATZACOALCOS,1272,2020-12-01
2020,DICIEMBRE,COLIMA,400,2020-12-01
2020,DICIEMBRE,CUERNAVACA,797,2020-12-01
2020,DICIEMBRE,CULIACAN,1984,2020-12-01
2020,DICIEMBRE,CIUDAD DE MEXICO,11110,2020-12-01
2020,DICIEMBRE,DURANGO,702,2020-12-01
2020,DICIEMBRE,ENSENADA,482,2020-12-01
2020,DICIEMBRE,GUADALAJARA,2478,2020-12-01
2020,DICIEMBRE,GUANAJUATO,1664,2020-12-01
2020,DICIEMBRE,HERMOSILLO,1889,2020-12-01
2020,DICIEMBRE,JALAPA,1117,2020-12-01
2020,DICIEMBRE,LA PAZ,978,2020-12-01
2020,DICIEMBRE,MERIDA,671,2020-12-01
2020,DICIEMBRE,MONTERREY,1405,2020-12-01
2020,DICIEMBRE,MORELIA,489,2020-12-01
2020,DICIEMBRE,OAXACA,599,2020-12-01
2020,DICIEMBRE,ORIZABA,827,2020-12-01
2020,DICIEMBRE,PACHUCA,1864,2020-12-01
2020,DICIEMBRE,PARRAL,313,2020-12-01
2020,DICIEMBRE,POZA RICA,753,2020-12-01
2020,DICIEMBRE,PUEBLA,2637,2020-12-01
2020,DICIEMBRE,QUERETARO,4166,2020-12-01
2020,DICIEMBRE,REYNOSA,458,2020-12-01
2020,DICIEMBRE,SALTILLO,1084,2020-12-01
2020,DICIEMBRE,SAN LUIS POTOSI,684,2020-12-01
2020,DICIEMBRE,TAMPICO,847,2020-12-01
2020,DICIEMBRE,TEPIC,517,2020-12-01
2020,DICIEMBRE,TIJUANA,1276,2020-12-01
2020,DICIEMBRE,TLAXCALA,486,2020-12-01
2020,DICIEMBRE,TOLUCA,950,2020-12-01
2020,DICIEMBRE,TORREON,1213,2020-12-01
2020,DICIEMBRE,TUXTLA GTEZ.,816,2020-12-01
2020,DICIEMBRE,VERACRUZ,636,2020-12-01
2020,DICIEMBRE,VILLAHERMOSA,951,2020-12-01
2020,DICIEMBRE,ZACATECAS,416,2020-12-01
2021,JUNIO,ACAPULCO,543,2021-06-01
